number,school,address,email
122,나사렛대학교,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)"
123,나사렛대학교 일반대학원,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)"
124,단국대학교,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교죽전캠퍼스)"
125,단국대학교,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스)"
126,단국대학교 일반대학원,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교죽전캠퍼스)"
127,대구대학교,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)"
128,대구대학교대학원,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)"
129,대구예술대학교,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교)"
130,대구가톨릭대학교,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)"
131,대구가톨릭대학교대학원,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)"
132,세한대학교,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교)"
133,세한대학교일반대학원,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교)"
134,대신대학교,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)"
135,대신대학교 대학원,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)"
136,대전가톨릭대학교,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)"
137,대전가톨릭대학교 대학원,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)"
138,대전대학교,"대전광역시 동구 대학로 62 (용운동, 대전대학교)"
139,대전대학교 일반대학원,"대전광역시 동구 대학로 62 (용운동, 대전대학교)"
140,대진대학교,"경기도 포천시 호국로 1007 (선단동, 대진대학교)"
141,대진대학교 대학원,"경기도 포천시 호국로 1007 (선단동, 대진대학교)"
142,서울기독대학교,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교)"
143,서울기독대학교 대학원,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교)"
144,덕성여자대학교,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)"
145,덕성여자대학교 대학원,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)"
146,동국대학교,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)"
147,동국대학교,"경상북도 경주시 동대로 123 (석장동, 동국대학교경주캠퍼스)"
148,동국대학교 대학원,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)"
149,동덕여자대학교,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)"
150,동덕여자대학교일반대학원,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)"
151,동서대학교,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)"
152,동서대학교일반대학원,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)"
153,동신대학교,"전라남도 나주시 동신대길 67 (대호동, 동신대학교중앙도서관동)"
154,동신대학교대학원,"전라남도 나주시 동신대길 67 (대호동, 동신대학교중앙도서관동)"
155,동아대학교,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)"
156,동아대학교 대학원,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)"
157,동양대학교,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)"
158,동양대학교일반대학원,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)"
159,동양대학교교육대학원,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)"
160,동양대학교정보대학원,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)"
161,동의대학교,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)"
162,동의대학교대학원,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)"
163,루터대학교,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)"
164,루터대학교 대학원,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)"
165,명지대학교 자연캠퍼스,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)"
166,명지대학교 인문캠퍼스,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)"
167,명지대학교 대학원,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)"
168,목원대학교,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)"
169,목원대학교일반대학원,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)"
170,배재대학교,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)"
171,배재대학교대학원,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)"
172,부산가톨릭대학교,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)"
173,부산가톨릭대학교대학원,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)"
174,부산가톨릭대학교 생명과학대학원,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)"
175,부산외국어대학교,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)"
176,부산외국어대학교대학원,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)"
177,삼육대학교,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)"
178,삼육대학교 대학원,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)"
179,상명대학교,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)"
180,상명대학교,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스)"
181,상명대학교 대학원,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)"
182,상명대학교 대학원,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스)"
183,상지대학교,"강원도 원주시 상지대길 83 (우산동, 상지대학교)"
184,상지대학교대학원,"강원도 원주시 상지대길 83 (우산동, 상지대학교)"
185,서강대학교,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)"
186,서강대학교대학원,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)"
187,서경대학교,"서울특별시 성북구 서경로 124 (정릉동, 서경대학)"
188,서경대학교 일반대학원,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교)"
189,서울신학대학교,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교)"
190,서울신학대학교대학원,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교)"
191,서울여자대학교,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교)"
192,서울여자대학교 대학원,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교)"
193,서울장신대학교,"경기도 광주시 경안로 145 (경안동, 서울장신대학교)"
194,서울장신대학교 일반대학원,"경기도 광주시 경안로 145 (경안동, 서울장신대학교)"
195,서원대학교,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)"
196,서원대학교교육대학원,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)"
197,서원대학교산업대학원,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)"
198,서원대학교정보통신대학원,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)"
199,선문대학교,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교)"
200,선문대학교대학원,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교)"
201,성결대학교,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교)"
202,성결대학교일반대학원,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교)"
203,성공회대학교,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)"
204,성공회대학교대학원,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)"
205,성균관대학교,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)"
206,성균관대학교 일반대학원,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)"
207,성신여자대학교,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)"
208,성신여자대학교대학원,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)"
209,세명대학교,"충청북도 제천시 세명로 65 (신월동, 세명대학교)"
210,세명대학교일반대학원,"충청북도 제천시 세명로 65 (신월동, 세명대학교)"
211,세종대학교,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)"
212,세종대학교일반대학원,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)"
213,수원가톨릭대학교,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교)"
214,수원가톨릭대학교대학원,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교)"
215,수원대학교,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교)"
216,수원대학교일반대학원,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교)"
217,숙명여자대학교,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교)"
218,숙명여자대학교 일반대학원,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교)"
219,순천향대학교,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교)"
220,순천향대학교대학원,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교대학원)"
221,숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
222,숭실대학교 대학원,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
